num,word,pinyin,radical,stroke_count,wuxing,traditional,wubi,pinyin_initial,pinyin_final,tone
3658,㧐,sǒng,扌,7,,㧐,RCCY,s,ong,3
3848,㧟,kuǎi,扌,8,,㧟,RIAN,k,uai,3
4190,𠳐,bāng,,10,,,,b,ang,1
0118,见,"jiàn,xiàn",见,4,木,見,MQB,j,ian,4
7213,䏲,tì,,11,,䏲,,t,i,4
7234,𬇹,guó,,11,,漍,,g,uo,2
7241,𬍡,dàng,,11,,璗,,d,ang,4
3978,䏝,"zhuān,chuán,chún,zhuǎn",月,8,,䏝,EFNY,zh,uan,1
4031,㤘,"chù,cù,zhòu",忄,8,,㤘,NQVG,ch,u,4
4546,䥽,pō,钅,10,,䥽,QNTY,p,o,1
5693,䁖,lōu,目,14,,䁖,HOVG,l,ou,1
5989,𥻗,chá,,15,,,,ch,a,2
6111,䦃,zhuō,钅,16,,䦃,QAFJ,zh,uo,1
6411,㸆,kào,火,19,,㸆,OTFD,k,ao,4
6520,𬣙,xū,,5,,訏,,x,u,1
6529,𨙸,qí,,6,,,,q,i,2
6547,𬇕,wàn,,6,,澫,,w,an,4
6549,䜣,"xī,xīn,yín",讠,6,,䜣,YRH,x,i,1
6551,𬣞,zhǔ,,6,,詝,,zh,u,3
6553,𬘓,xún,,6,,紃,,x,un,2
6564,𫭢,lǔn,,7,,埨,,l,un,3
6567,㧑,huī,扌,7,,撝,,h,ui,1
6576,𫇭,wěi,,8,,蒍蔿,,w,ei,3
6586,𫐄,yuè,,7,,軏,,y,ue,4
6592,㕮,fǔ,口,7,,㕮,,f,u,3
6594,𫵷,lì,,7,,㠣,,l,i,4
3699,呒,ḿ,口,7,,嘸,KFQN,m,,2
4004,𬉼,ǒu,,8,,熰,,"",ou,3
6560,𫭟,ōu,,7,,塸,,"",ou,1
7519,𫫇,è,,13,,噁,,"",e,4
7663,𥔲,è,,15,,,,"",e,4
7708,𩽾,ān,,14,,鮟,,"",an,1
7868,㠓,méng,,16,,,,m,eng,2
7870,𪩘,yǎn,,16,,巘,,y,an,3
7872,𬭬,huì,,16,,鏏,,h,ui,4
7873,𨱑,huáng,,17,,鐄,,h,uang,2
7874,𬭯,piě,,16,,䥕,,p,ie,3
7890,𫗴,zhān,,16,,饘,,zh,an,1
7894,𬸦,zhuó,,16,,鷟,,zh,uo,2
7916,𫄷,yì,,16,,繶,,y,i,4
7918,𤩽,huán,,17,,瓛,,h,uan,2
7936,㘎,hǎn,口,17,,,KUNT,h,an,3
7937,𬭳,xǐ,,17,,𨭎,,x,i,3
7939,𬭶,hēi,,17,,𨭆,,h,ei,1
7940,𫔍,fán,,17,,鐇,,f,an,2
7943,𬭸,lín,,17,,鏻,,l,in,2
7944,𨱔,zūn,,17,,鐏,,z,un,1
7945,𬭼,suì,,17,,鐩,,s,ui,4
7946,𫔎,jué,,17,,鐍,,j,ue,2
7960,䲠,chūn,鱼,17,,鰆,QGDJ,ch,un,1
7961,𬶟,là,,17,,鯻,,l,a,4
7963,𬶠,liàn,,17,,鰊,,l,ian,4
7970,䗪,zhè,虫,17,,䗪,YAOJ,zh,e,4
7974,𬶨,jì,,17,,鱀,,j,i,4
7979,𦈡,xū,,17,,繻,,x,u,1
7980,𫄸,xūn,,17,,纁,,x,un,1
7987,𬟁,yì,,18,,虉,,y,i,4
7996,𥖨,zào,,18,,,,z,ao,4
8000,䗴,tíng,虫,18,,䗴,JTTP,t,ing,2
8014,䲢,téng,月,18,,鰧,EUDG,t,eng,2
8020,𦒍,tóng,,18,,,,t,ong,2
8024,䎖,zēng,羽,18,,䎖,ULJN,z,eng,1
8029,䴙,pì,鸟,18,,鸊,,p,i,4
8030,𬙊,mò,,17,,纆,,m,o,4
8032,㰀,lí,,19,,,,l,i,2
8042,𬶭,jì,,19,,鰶,,j,i,4
8043,𩾌,kāng,,19,,鱇,,k,ang,1
8057,𨟠,quān,,20,,,,q,uan,1
6612,𣲘,wǔ,,7,,潕,,w,u,3
6613,𣲗,wéi,,7,,湋,,w,ei,2
6616,𬇙,bèi,,7,,浿,,b,ei,4
6618,㳇,"fú,fù",氵,7,,㳇,IWQY,f,u,2
6623,𬣡,jiàn,,7,,諓,,j,ian,4
6630,𫸩,kōu,,7,,彄,,k,ou,1
6637,𨚕,biàn,,7,,,,b,ian,4
6640,𫘜,wén,,7,,馼,,w,en,2
6642,𬘘,dǎn,,7,,紞,,d,an,3
6643,𫘝,jué,,7,,駃,,j,ue,2
6657,䢼,gōng,,8,,䢼,AWBH,g,ong,1
6658,𦭜,zhī,,9,,,,zh,i,1
6664,㭎,gāng,木,8,,㭎,SMQY,g,ang,1
6670,𬨂,qí,,8,,軝,,q,i,2
6671,𬀩,wěi,,8,,暐,,w,ei,3
6672,𬀪,xiàn,,8,,晛,,x,ian,4
6686,㟃,sī,,8,,㟃,MNGK,s,i,1
6688,𬬩,yì,,8,,釴,,y,i,4
6694,垈,dài,土,8,,垈,WAFF,d,ai,4
6700,㑊,yì,亻,8,,㑊,WYOY,y,i,4
6730,𫍣,tóng,,8,,詷,,t,ong,2
6731,𬣳,hěn,,8,,詪,,h,en,3
6732,𬩽,xún,,9,,鄩,,x,un,2
6737,𬮿,gài,,9,,隑,,g,ai,4
6739,𬯀,jī,,9,,隮,,j,i,1
6744,𫰛,xíng,,8,,娙,,x,ing,2
6747,𬳵,pī,,8,,駓,,p,i,1
6749,𬳶,jiōng,,8,,駉,,j,iong,1
6750,䌹,jiǒng,,8,,絅,,j,iong,3
6752,𫠊,xuán,,8,,䮄,,x,uan,2
6757,㛃,jié,,9,,㛃,,j,ie,2
6761,𬍛,lì,,9,,瓅,,l,i,4
6774,鿍,gàng,,9,,,,g,ang,4
6791,𬜬,màn,,9,,蔄,,m,an,4
6794,𦰡,nà,,11,,,,n,a,4
6797,㭕,qū,,9,,,,q,u,1
6806,䴓,shī,鸟,9,,䴓,GMHO,sh,i,1
6814,䶮,yǎn,龙,9,,䶮,DXGD,y,an,3
