num,word,pinyin,radical,stroke_count,wuxing,traditional,wubi
0001,一,yī,一,1,土,一,GGLL
0002,乙,yǐ,乛,1,木,乙,NNLL
0003,二,èr,二,2,火,二,FGG
0004,十,shí,十,2,金,十,FGH
0005,丁,"dīng,zhēng",一,2,火,丁,SGH
0006,厂,"chǎng,ān",厂,2,金,廠,DGT
0007,七,qī,一,2,金,七,AGN
0008,卜,"bǔ,bo,pú",卜,2,水,蔔,HHY
0009,八,bā,八,2,水,八,WTY
0010,人,rén,人,2,金,人,WWWW
0011,入,rù,入,2,金,入,TYI
0012,儿,ér,儿,2,金,兒,QTN
0013,匕,bǐ,匕,2,金,匕,XTN
0014,几,"jǐ,jī",几,2,木,幾,MTN
0015,九,jiǔ,丿,2,木,九,VTN
0016,刁,diāo,乛,2,火,刁,NGD
0017,了,"le,liǎo",乛,2,火,瞭,BNH
0018,刀,dāo,刀,2,金,刀,VNT
0019,力,lì,力,2,火,力,LTN
0020,乃,nǎi,乛,2,火,乃,ETN
0021,又,yòu,又,2,土,又,CCCC
0022,三,sān,一,3,金,三,DGGG
0023,干,"gàn,gān",干,3,木,乾、幹,FGGH
0024,于,yú,一,3,土,于,
0025,亏,kuī,一,3,木,虧,FNV
0026,工,gōng,工,3,木,工,AAAA
0027,土,tǔ,土,3,土,土,FFFF
0028,士,shì,士,3,金,士,FGHG
0029,才,cái,一,3,金,纔,FTE
0030,下,xià,一,3,水,下,GHI
0031,寸,cùn,寸,3,金,寸,FGHY
0032,大,"dà,dài",大,3,火,大,DDDD
0033,丈,zhàng,一,3,火,丈,DYI
0034,与,"yǔ,yù,yú",一,3,土,與,GNGD
0035,万,"wàn,mò",一,3,水,萬,DNV
0036,上,"shàng,shǎng,shang",⺊,3,金,上,HHGG
0037,小,xiǎo,小,3,金,小,IHTY
0038,口,kǒu,口,3,木,口,KKKK
0039,山,shān,山,3,土,山,MMMM
0040,巾,jīn,巾,3,木,巾,MHK
0041,千,qiān,丿,3,金,韆,TFK
0042,乞,qǐ,乛,3,木,乞,TNB
0043,川,chuān,丿,3,金,川,KTHH
0044,亿,yì,亻,3,土,億,WNN
0045,个,"gè,gě",人,3,土,個,WHJ
0046,夕,xī,夕,3,金,夕,QTNY
0047,久,jiǔ,丿,3,木,久,QYI
0048,么,"me,mó,yāo,ma",丿,3,水,麽,TCU
0049,勺,sháo,勹,3,火,勺,QYI
0050,凡,fán,几,3,水,凡,MYI
0051,丸,wán,丿,3,土,丸,VYI
0052,及,jí,丿,3,木,及,EYI
0053,广,"guǎng,ān",广,3,木,廣,YYGT
0054,亡,"wáng,wú",亠,3,水,亡,YNV
0055,门,mén,门,3,水,門,UYHN
0056,丫,yā,丷,3,土,丫,UHK
0057,义,yì,丶,3,木,義,YQI
0058,之,zhī,丶,3,火,之,PPPP
0059,尸,shī,尸,3,金,尸,NNGT
0060,己,jǐ,己,3,土,己,NNGN
0061,已,yǐ,已,3,木,已,NNNN
0062,巳,sì,巳,3,火,巳,NNGN
0063,弓,gōng,弓,3,木,弓,XNGN
0064,子,"zǐ,·zi",子,3,水,子,BBBB
0065,卫,wèi,卩、乛,3,土,衛,BGD
0066,也,yě,乛,3,土,也,BNHN
0067,女,"nǚ,rǔ",女,3,火,女,VVVV
0068,刃,rèn,刀,3,金,刃,VYI
0069,飞,fēi,飞,3,水,飛,NUI
0070,习,xí,乛,3,水,習,NUD
0071,叉,"chā,chà,chǎ,chá",又,3,金,叉,CYI
0072,马,mǎ,马,3,水,馬,CNNG
0073,乡,xiāng,乛,3,水,鄉,XTE
0074,丰,fēng,一,4,火,豐,DHK
0075,王,"wáng,wàng",王,4,土,王,GGGG
0076,开,kāi,一,4,木,開,GAK
0077,井,jǐng,一,4,火,井,FJK
0078,天,tiān,一,4,火,天,GDI
0079,夫,"fū,fú",一,4,水,夫,FWI
0080,元,yuán,一,4,木,元,FQB
0081,无,"wú,mó",一、无,4,水,無,FQV
0082,云,yún,一,4,水,雲,FCU
0083,专,zhuān,一,4,金,專,FNYI
0084,丐,gài,一,4,木,丐,GHNV
0085,扎,"zhā,zā,zhá",扌,4,金,扎,RNN
0086,艺,yì,艹,4,木,藝,ANB
0087,木,mù,木,4,木,木,SSSS
0088,五,wǔ,一,4,木,五,
0089,支,zhī,支,4,火,支,FCU
0090,厅,tīng,厂,4,火,廳,DSK
0091,不,"bù,fǒu",一,4,水,不,GII
0092,犬,quǎn,犬,4,木,犬,DGTY
0093,太,tài,大,4,火,太,DYI
0094,区,"qū,ōu",匚,4,木,區,AQI
0095,历,lì,厂,4,火,歷、曆,DLV
0096,歹,dǎi,歹,4,水,歹,GQI
0097,友,yǒu,又,4,土,友,DCU
0098,尤,yóu,尢,4,土,尤,DNV
0099,匹,pǐ,匚,4,水,匹,AQV
0100,车,"chē,jū",车,4,金,車,LGNH
0101,巨,jù,匚,4,木,巨,AND
0102,牙,yá,牙,4,木,牙,AHTE
0103,屯,"tún,zhūn",一,4,火,屯,GBNV
0104,戈,gē,戈,4,金,戈,AGNT
0105,比,bǐ,比,4,水,比,XXN
0106,互,hù,一,4,水,互,GXGD
0107,切,"qiē,qiè",刀,4,土,切,AVN
0108,瓦,"wǎ,wà",瓦,4,土,瓦,GNYN
0109,止,zhǐ,止,4,火,止,HHHG
0110,少,"shǎo,shào",小,4,金,少,ITR
0111,曰,yuē,曰,4,土,曰,JHNG
0112,日,rì,日,4,火,日,JJJJ
0113,中,"zhōng,zhòng",丨,4,火,中,KHK
0114,贝,bèi,贝,4,水,貝,MHNY
0115,冈,gāng,冂,4,水,岡,MQI
0116,内,"nèi,nà",丨、冂,4,火,内,MWI
0117,水,shuǐ,水,4,水,水,IIII
0118,见,"jiàn,xiàn",见,4,木,見,MQB
0119,午,wǔ,丿、十,4,火,午,TFJ
0120,牛,niú,牛,4,木,牛,RHK
0121,手,shǒu,手,4,金,手,RTGH
0122,气,qì,气,4,木,氣,RNB
0123,毛,máo,毛,4,水,毛,TFNV
0124,壬,rén,丿,4,水,壬,TFD
0125,升,shēng,丿,4,金,升,TAK
0126,夭,yāo,丿,4,土,夭,TDI
0127,长,"cháng,zhǎng",长,4,火,長,TAYI
0128,仁,rén,亻,4,金,仁,WFG
0129,什,"shí,shén",亻,4,金,什,WFH
0130,片,"piàn,piān",片,4,水,片,THGN
0131,仆,"pú,pū",亻,4,水,僕,WHY
0132,化,"huà,huā",亻,4,水,化,WXN
0133,仇,"chóu,qiú",亻,4,金,仇,WVN
0134,币,bì,丿,4,水,幣,TMHK
0135,仍,réng,亻,4,金,仍,WEN
0136,仅,"jǐn,jìn",亻,4,木,僅,WCY
0137,斤,jīn,斤,4,木,斤,RTTH
0138,爪,"zhǎo,zhuǎ",爪,4,金,爪,RHYI
0139,反,fǎn,⺁,4,水,反,RCI
0140,介,jiè,人,4,木,介,WJJ
0141,父,"fù,fǔ",父,4,水,父,WQU
0142,从,cóng,人,4,火,從,WWY
0143,仑,lún,人,4,火,侖,WXB
0144,今,jīn,人,4,木,今,WYNB
0145,凶,xiōng,凵,4,水,凶,QBK
0146,分,"fēn,fèn",八,4,水,分,WVB
0147,乏,fá,丿,4,金,乏,TPI
0148,公,gōng,八,4,木,公,WCU
0149,仓,cāng,人,4,金,倉,WBB
0150,月,yuè,月,4,木,月,EEEE
0151,氏,"shì,zhī",氏,4,金,氏,QAV
0152,勿,wù,勹,4,水,勿,QRE
0153,欠,qiàn,欠,4,木,欠,QWU
0154,风,"fēng,fěng",风,4,水,風,MQI
0155,丹,dān,丿,4,火,丹,MYD
0156,匀,yún,勹,4,木,匀,QUD
0157,乌,"wū,wù",丿,4,火,烏,QNGD
0158,勾,"gōu,gòu",勹,4,木,勾,QCI
0159,凤,fèng,几,4,水,鳳,MCI
